update_id,reported_date,source_type,field_text,expanded_text,applied_aliases,matched_activity_id,top_activity_name,top_activity_discipline,confidence_score,confidence_level,matched_layer,status,planner_remarks,candidate_matches_json
UPD-2026-001,2026-04-16,whatsapp_log,Spool erection and field fit-up successfully finished at Manifold A today.,Spool erection and field fit-up successfully finished at Manifold A today. (Domain Expansion: prefabricated piping spool erection and line assembly),spool,OIL-PIP-202-A,Piping Spool Erection and Field Fit-up - Manifold A,Piping,0.8354,High,hybrid,pending,,"[{""activity_id"": ""OIL-PIP-202-A"", ""activity_name"": ""Piping Spool Erection and Field Fit-up - Manifold A"", ""discipline"": ""Piping"", ""wbs_code"": ""1.2.2.1"", ""semantic_score"": 0.8046, ""fuzzy_score"": 0.8368, ""discipline_boost"": 1.0, ""final_score"": 0.8354}, {""activity_id"": ""OIL-PIP-202-D"", ""activity_name"": ""Piping Spool Erection and Field Fit-up - Manifold D"", ""discipline"": ""Piping"", ""wbs_code"": ""1.2.2.4"", ""semantic_score"": 0.8127, ""fuzzy_score"": 0.8222, ""discipline_boost"": 1.0, ""final_score"": 0.8348}, {""activity_id"": ""OIL-PIP-202-B"", ""activity_name"": ""Piping Spool Erection and Field Fit-up - Manifold B"", ""discipline"": ""Piping"", ""wbs_code"": ""1.2.2.2"", ""semantic_score"": 0.8083, ""fuzzy_score"": 0.8222, ""discipline_boost"": 1.0, ""final_score"": 0.8323}]"
UPD-2026-002,2026-04-17,text,"Completed right of way ROW clearing, grubbing & grading for Section B pipeline route.","Completed right of way ROW clearing, grubbing & grading for Section B pipeline route. (Domain Expansion: right of way ROW clearing grading and route preparation)","row clearing, row",OIL-PLN-102-B,"Right of Way (ROW) Clearing, Grubbing & Grading - Section B",Pipeline,0.8454,High,hybrid,pending,,"[{""activity_id"": ""OIL-PLN-102-B"", ""activity_name"": ""Right of Way (ROW) Clearing, Grubbing & Grading - Section B"", ""discipline"": ""Pipeline"", ""wbs_code"": ""1.1.2.2"", ""semantic_score"": 0.8069, ""fuzzy_score"": 0.8616, ""discipline_boost"": 1.0, ""final_score"": 0.8454}, {""activity_id"": ""OIL-PLN-102-A"", ""activity_name"": ""Right of Way (ROW) Clearing, Grubbing & Grading - Section A"", ""discipline"": ""Pipeline"", ""wbs_code"": ""1.1.2.1"", ""semantic_score"": 0.7943, ""fuzzy_score"": 0.8435, ""discipline_boost"": 1.0, ""final_score"": 0.8321}, {""activity_id"": ""OIL-PLN-102-D"", ""activity_name"": ""Right of Way (ROW) Clearing, Grubbing & Grading - Section D"", ""discipline"": ""Pipeline"", ""wbs_code"": ""1.1.2.4"", ""semantic_score"": 0.7792, ""fuzzy_score"": 0.8519, ""discipline_boost"": 1.0, ""final_score"": 0.8267}]"
UPD-2026-003,2026-04-18,excel,100% NDT radiography testing carried out on all 12 weld joints at KP 16 to 30.,100% NDT radiography testing carried out on all 12 weld joints at KP 16 to 30. (Domain Expansion: non-destructive testing NDT radiography of pipe weld joints),radiography,OIL-PIP-204-D,Non-Destructive Testing (NDT) Radiography of Piping Welds - Line D,Piping,0.7526,Medium,hybrid,pending,,"[{""activity_id"": ""OIL-PIP-204-D"", ""activity_name"": ""Non-Destructive Testing (NDT) Radiography of Piping Welds - Line D"", ""discipline"": ""Piping"", ""wbs_code"": ""1.2.4.4"", ""semantic_score"": 0.7587, ""fuzzy_score"": 0.6723, ""discipline_boost"": 1.0, ""final_score"": 0.7526}, {""activity_id"": ""OIL-PIP-204-A"", ""activity_name"": ""Non-Destructive Testing (NDT) Radiography of Piping Welds - Line A"", ""discipline"": ""Piping"", ""wbs_code"": ""1.2.4.1"", ""semantic_score"": 0.7491, ""fuzzy_score"": 0.6696, ""discipline_boost"": 1.0, ""final_score"": 0.7464}, {""activity_id"": ""OIL-PIP-204-B"", ""activity_name"": ""Non-Destructive Testing (NDT) Radiography of Piping Welds - Line B"", ""discipline"": ""Piping"", ""wbs_code"": ""1.2.4.2"", ""semantic_score"": 0.7471, ""fuzzy_score"": 0.6696, ""discipline_boost"": 1.0, ""final_score"": 0.7453}]"
UPD-2026-004,2026-04-19,excel,High tension HT cable pulling and routing completed across Feeder C.,High tension HT cable pulling and routing completed across Feeder C. (Domain Expansion: HT LT electrical cable laying and tray pulling),cable pulling,OIL-ELE-403-C,High Tension (HT) Cable Pulling and Routing - Feeder C,Electrical,0.8752,High,hybrid,pending,,"[{""activity_id"": ""OIL-ELE-403-C"", ""activity_name"": ""High Tension (HT) Cable Pulling and Routing - Feeder C"", ""discipline"": ""Electrical"", ""wbs_code"": ""1.4.3.3"", ""semantic_score"": 0.8543, ""fuzzy_score"": 0.8724, ""discipline_boost"": 1.0, ""final_score"": 0.8752}, {""activity_id"": ""OIL-ELE-403-A"", ""activity_name"": ""High Tension (HT) Cable Pulling and Routing - Feeder A"", ""discipline"": ""Electrical"", ""wbs_code"": ""1.4.3.1"", ""semantic_score"": 0.8563, ""fuzzy_score"": 0.8675, ""discipline_boost"": 1.0, ""final_score"": 0.8746}, {""activity_id"": ""OIL-ELE-403-B"", ""activity_name"": ""High Tension (HT) Cable Pulling and Routing - Feeder B"", ""discipline"": ""Electrical"", ""wbs_code"": ""1.4.3.2"", ""semantic_score"": 0.8307, ""fuzzy_score"": 0.8675, ""discipline_boost"": 1.0, ""final_score"": 0.8605}]"
UPD-2026-005,2026-04-20,whatsapp_log,Dial gauge cold and hot alignment of compressor motor shaft finalized in Shed A.,Dial gauge cold and hot alignment of compressor motor shaft finalized in Shed A.,,OIL-MEC-604-B,Dial Gauge Cold and Hot Alignment of Compressor Motor Shaft - Shed B,Mechanical,0.8394,High,semantic,pending,,"[{""activity_id"": ""OIL-MEC-604-B"", ""activity_name"": ""Dial Gauge Cold and Hot Alignment of Compressor Motor Shaft - Shed B"", ""discipline"": ""Mechanical"", ""wbs_code"": ""1.6.4.2"", ""semantic_score"": 0.9266, ""fuzzy_score"": 0.9423, ""discipline_boost"": 0.0, ""final_score"": 0.8394}, {""activity_id"": ""OIL-MEC-604-A"", ""activity_name"": ""Dial Gauge Cold and Hot Alignment of Compressor Motor Shaft - Shed A"", ""discipline"": ""Mechanical"", ""wbs_code"": ""1.6.4.1"", ""semantic_score"": 0.9127, ""fuzzy_score"": 0.9464, ""discipline_boost"": 0.0, ""final_score"": 0.8332}, {""activity_id"": ""OIL-MEC-604-D"", ""activity_name"": ""Dial Gauge Cold and Hot Alignment of Compressor Motor Shaft - Shed D"", ""discipline"": ""Mechanical"", ""wbs_code"": ""1.6.4.4"", ""semantic_score"": 0.9095, ""fuzzy_score"": 0.9464, ""discipline_boost"": 0.0, ""final_score"": 0.8315}]"
UPD-2026-006,2026-04-21,text,"Reinforcement steel bar rebar cutting, bending and fixing done for Foundation B.","Reinforcement steel bar rebar cutting, bending and fixing done for Foundation B. (Domain Expansion: reinforcement steel bar rebar cutting bending and fixing)",rebar,OIL-CIV-304-B,"Reinforcement Steel Bar (Rebar) Cutting, Bending & Fixing - Foundation B",Civil,0.8182,Medium,hybrid,pending,,"[{""activity_id"": ""OIL-CIV-304-B"", ""activity_name"": ""Reinforcement Steel Bar (Rebar) Cutting, Bending & Fixing - Foundation B"", ""discipline"": ""Civil"", ""wbs_code"": ""1.3.4.2"", ""semantic_score"": 0.7526, ""fuzzy_score"": 0.8694, ""discipline_boost"": 1.0, ""final_score"": 0.8182}, {""activity_id"": ""OIL-CIV-304-D"", ""activity_name"": ""Reinforcement Steel Bar (Rebar) Cutting, Bending & Fixing - Foundation D"", ""discipline"": ""Civil"", ""wbs_code"": ""1.3.4.4"", ""semantic_score"": 0.7377, ""fuzzy_score"": 0.8733, ""discipline_boost"": 1.0, ""final_score"": 0.8114}, {""activity_id"": ""OIL-CIV-304-C"", ""activity_name"": ""Reinforcement Steel Bar (Rebar) Cutting, Bending & Fixing - Foundation C"", ""discipline"": ""Civil"", ""wbs_code"": ""1.3.4.3"", ""semantic_score"": 0.7282, ""fuzzy_score"": 0.8654, ""discipline_boost"": 1.0, ""final_score"": 0.8034}]"
UPD-2026-007,2026-04-22,excel,Horizontal directional drilling HDD river crossing pulled through at Crossing C.,Horizontal directional drilling HDD river crossing pulled through at Crossing C. (Domain Expansion: horizontal directional drilling HDD for river and road crossing),hdd,OIL-PLN-111-C,Horizontal Directional Drilling (HDD) River Crossing - Crossing C,Pipeline,0.8664,High,hybrid,pending,,"[{""activity_id"": ""OIL-PLN-111-C"", ""activity_name"": ""Horizontal Directional Drilling (HDD) River Crossing - Crossing C"", ""discipline"": ""Pipeline"", ""wbs_code"": ""1.1.11.3"", ""semantic_score"": 0.8389, ""fuzzy_score"": 0.8714, ""discipline_boost"": 1.0, ""final_score"": 0.8664}, {""activity_id"": ""OIL-PLN-111-A"", ""activity_name"": ""Horizontal Directional Drilling (HDD) River Crossing - Crossing A"", ""discipline"": ""Pipeline"", ""wbs_code"": ""1.1.11.1"", ""semantic_score"": 0.829, ""fuzzy_score"": 0.8672, ""discipline_boost"": 1.0, ""final_score"": 0.8595}, {""activity_id"": ""OIL-PLN-111-D"", ""activity_name"": ""Horizontal Directional Drilling (HDD) River Crossing - Crossing D"", ""discipline"": ""Pipeline"", ""wbs_code"": ""1.1.11.4"", ""semantic_score"": 0.8269, ""fuzzy_score"": 0.8672, ""discipline_boost"": 1.0, ""final_score"": 0.8583}]"
UPD-2026-008,2026-04-23,whatsapp_log,Golden tie-in welding at existing header connection completed at Manifold D.,Golden tie-in welding at existing header connection completed at Manifold D. (Domain Expansion: piping golden tie-in weld and line connection),tie-in,OIL-PIP-203-D,Golden Tie-In Welding at Existing Header Connection - Manifold D,Piping,0.9092,High,hybrid,pending,,"[{""activity_id"": ""OIL-PIP-203-D"", ""activity_name"": ""Golden Tie-In Welding at Existing Header Connection - Manifold D"", ""discipline"": ""Piping"", ""wbs_code"": ""1.2.3.4"", ""semantic_score"": 0.8684, ""fuzzy_score"": 0.9474, ""discipline_boost"": 1.0, ""final_score"": 0.9092}, {""activity_id"": ""OIL-PIP-203-B"", ""activity_name"": ""Golden Tie-In Welding at Existing Header Connection - Manifold B"", ""discipline"": ""Piping"", ""wbs_code"": ""1.2.3.2"", ""semantic_score"": 0.8203, ""fuzzy_score"": 0.9431, ""discipline_boost"": 1.0, ""final_score"": 0.8812}, {""activity_id"": ""OIL-PIP-203-C"", ""activity_name"": ""Golden Tie-In Welding at Existing Header Connection - Manifold C"", ""discipline"": ""Piping"", ""wbs_code"": ""1.2.3.3"", ""semantic_score"": 0.8095, ""fuzzy_score"": 0.9474, ""discipline_boost"": 1.0, ""final_score"": 0.8768}]"
UPD-2026-009,2026-04-24,excel,Bench calibration of pressure and temperature transmitters completed for Batch A.,Bench calibration of pressure and temperature transmitters completed for Batch A.,,OIL-INS-504-A,Bench Calibration of Pressure and Temperature Transmitters - Batch A,Instrumentation,0.8059,Medium,hybrid,pending,,"[{""activity_id"": ""OIL-INS-504-A"", ""activity_name"": ""Bench Calibration of Pressure and Temperature Transmitters - Batch A"", ""discipline"": ""Instrumentation"", ""wbs_code"": ""1.5.4.1"", ""semantic_score"": 0.8641, ""fuzzy_score"": 0.9446, ""discipline_boost"": 0.0, ""final_score"": 0.8059}, {""activity_id"": ""OIL-INS-504-B"", ""activity_name"": ""Bench Calibration of Pressure and Temperature Transmitters - Batch B"", ""discipline"": ""Instrumentation"", ""wbs_code"": ""1.5.4.2"", ""semantic_score"": 0.864, ""fuzzy_score"": 0.9405, ""discipline_boost"": 0.0, ""final_score"": 0.8044}, {""activity_id"": ""OIL-INS-504-C"", ""activity_name"": ""Bench Calibration of Pressure and Temperature Transmitters - Batch C"", ""discipline"": ""Instrumentation"", ""wbs_code"": ""1.5.4.3"", ""semantic_score"": 0.8504, ""fuzzy_score"": 0.9405, ""discipline_boost"": 0.0, ""final_score"": 0.7969}]"
UPD-2026-010,2026-04-25,text,Installation of 33kV/415V main stepdown transformer completed in Substation A.,Installation of 33kV/415V main stepdown transformer completed in Substation A.,,OIL-ELE-401-A,Installation of 33kV/415V Main Oil Field Stepdown Transformer - Substation A,Electrical,0.7764,Medium,hybrid,pending,,"[{""activity_id"": ""OIL-ELE-401-A"", ""activity_name"": ""Installation of 33kV/415V Main Oil Field Stepdown Transformer - Substation A"", ""discipline"": ""Electrical"", ""wbs_code"": ""1.4.1.1"", ""semantic_score"": 0.8453, ""fuzzy_score"": 0.89, ""discipline_boost"": 0.0, ""final_score"": 0.7764}, {""activity_id"": ""OIL-ELE-401-B"", ""activity_name"": ""Installation of 33kV/415V Main Oil Field Stepdown Transformer - Substation B"", ""discipline"": ""Electrical"", ""wbs_code"": ""1.4.1.2"", ""semantic_score"": 0.8386, ""fuzzy_score"": 0.8861, ""discipline_boost"": 0.0, ""final_score"": 0.7714}, {""activity_id"": ""OIL-ELE-401-D"", ""activity_name"": ""Installation of 33kV/415V Main Oil Field Stepdown Transformer - Substation D"", ""discipline"": ""Electrical"", ""wbs_code"": ""1.4.1.4"", ""semantic_score"": 0.8188, ""fuzzy_score"": 0.8861, ""discipline_boost"": 0.0, ""final_score"": 0.7605}]"
