update_id,reported_date,source_type,field_text,site_location,reported_by,benchmark_expected_act,benchmark_intent
UPD-2026-001,2026-04-16,whatsapp_log,Spool erection and field fit-up successfully finished at Manifold A today.,Duliajan Manifold Area A,Ramesh Borah (Piping Foreman),OIL-PIP-202-A,high_auto_link
UPD-2026-002,2026-04-17,text,"Completed right of way ROW clearing, grubbing & grading for Section B pipeline route.",Section B ROW,Diganta Saikia (Pipeline Engr),OIL-PLN-102-B,high_auto_link
UPD-2026-003,2026-04-18,excel,100% NDT radiography testing carried out on all 12 weld joints at KP 16 to 30.,Section B KP 16-30,Sunil Gogoi (QA/QC Inspector),OIL-PLN-107-B,high_auto_link
UPD-2026-004,2026-04-19,excel,High tension HT cable pulling and routing completed across Feeder C.,Substation Feeder C,Pranab Phukan (Elec Supervisor),OIL-ELE-403-C,high_auto_link
UPD-2026-005,2026-04-20,whatsapp_log,Dial gauge cold and hot alignment of compressor motor shaft finalized in Shed A.,Compressor Shed A,Ankur Barua (Mechanical Lead),OIL-MEC-604-A,high_auto_link
UPD-2026-006,2026-04-21,text,"Reinforcement steel bar rebar cutting, bending and fixing done for Foundation B.",Compressor Foundation B,Manoj Chetia (Civil Foreman),OIL-CIV-304-B,high_auto_link
UPD-2026-007,2026-04-22,excel,Horizontal directional drilling HDD river crossing pulled through at Crossing C.,River Crossing C,Subhashish Roy (HDD Incharge),OIL-PLN-111-C,high_auto_link
UPD-2026-008,2026-04-23,whatsapp_log,Golden tie-in welding at existing header connection completed at Manifold D.,Manifold D Header,Debojit Hazarika (Welding Sup),OIL-PIP-203-D,high_auto_link
UPD-2026-009,2026-04-24,excel,Bench calibration of pressure and temperature transmitters completed for Batch A.,Field Lab Batch A,Nayan Moni (Inst Engineer),OIL-INS-504-A,high_auto_link
UPD-2026-010,2026-04-25,text,Installation of 33kV/415V main stepdown transformer completed in Substation A.,Main Substation A,Bhaskar Sarma (Elec Lead),OIL-ELE-401-A,high_auto_link
UPD-2026-011,2026-04-26,whatsapp_log,"Trench padding, backfilling and soil compaction completed KP 31 to 45 Section C.",Pipeline Section C,Bikash Mech (Pipeline Sup),OIL-PLN-110-C,high_auto_link
UPD-2026-012,2026-04-27,excel,Dyke bund wall civil construction around crude storage Tank B finished up to 2m height.,Crude Tank Dyke B,Rohit Verma (Civil Engr),OIL-CIV-307-B,high_auto_link
UPD-2026-013,2026-04-28,whatsapp_log,Emergency shutdown valve ESDV stroke testing and calibration carried out at Station D.,ESDV Station D,Pankaj Kalita (Inst Tech),OIL-INS-507-D,high_auto_link
UPD-2026-014,2026-04-29,text,Flare knockout drum KOD skidded vessel erection placed on foundation at Area B.,Flare Area B,Tapan Dutta (Rigger Lead),OIL-MEC-602-B,high_auto_link
UPD-2026-015,2026-04-30,excel,Piping spool prefabrication at field workshop Manifold C 42 joints welded.,Yard Manifold C,Jyoti Lahon (Piping QC),OIL-PIP-201-C,high_auto_link
UPD-2026-016,2026-05-01,whatsapp_log,"Hydrotesting done today on line 3 section B, holding 95 bar pressure.",Section B Line 3,Hiren Das (Site Incharge),OIL-PIP-205-B,medium_planner_review
UPD-2026-017,2026-05-02,text,Lowering work completed today for pipeline near river bank area.,River Bank Sector,Mukesh Tiwari (Lowering Sup),OIL-PLN-109-A,medium_planner_review
UPD-2026-018,2026-05-03,excel,"PCC layer poured for main compressor block, curing initiated.",Compressor Block,Amitabh Baruah (Civil Sup),OIL-CIV-303-A,medium_planner_review
UPD-2026-019,2026-05-04,whatsapp_log,Cable tray fixing and cable laying ongoing along the overhead pipe rack.,Overhead Rack Area,Kamal Baruah (Electrician),OIL-ELE-402-A,medium_planner_review
UPD-2026-020,2026-04-15,excel,Chemical copper earthing pit digging and backfilling with compound completed.,Grid Substation,Bipul Sharma (Elec Contractor),OIL-ELE-406-B,medium_planner_review
UPD-2026-021,2026-04-16,text,"Golden tie-in joint welded at header junction, visual check passed.",Junction Skid,Gaurav Singh (Welding Inspector),OIL-PIP-203-A,medium_planner_review
UPD-2026-022,2026-04-17,whatsapp_log,"Valve pit wall concrete casted today, 18 cum consumed.",Station Valve Pit,Jiten Deka (Civil Supervisor),OIL-CIV-308-C,medium_planner_review
