activity_id,activity_name,discipline,wbs_code,wbs_name,planned_start_date,planned_finish_date,planned_progress_pct,unit_of_measure,planned_qty
OIL-PLN-101-A,Topographical Survey and Centerline Staking - Section A,Pipeline,1.1.1.1,Pipeline Execution Section A,2026-04-04,2026-04-26,13.0,MTR,5000
OIL-PLN-101-B,Topographical Survey and Centerline Staking - Section B,Pipeline,1.1.1.2,Pipeline Execution Section B,2026-04-07,2026-05-06,26.0,MTR,5000
OIL-PLN-101-C,Topographical Survey and Centerline Staking - Section C,Pipeline,1.1.1.3,Pipeline Execution Section C,2026-04-10,2026-05-16,39.0,MTR,5000
OIL-PLN-101-D,Topographical Survey and Centerline Staking - Section D,Pipeline,1.1.1.4,Pipeline Execution Section D,2026-04-13,2026-05-26,52.0,MTR,5000
OIL-PLN-102-A,"Right of Way (ROW) Clearing, Grubbing & Grading - Section A",Pipeline,1.1.2.1,Pipeline Execution Section A,2026-04-16,2026-05-01,65.0,MTR,5000
OIL-PLN-102-B,"Right of Way (ROW) Clearing, Grubbing & Grading - Section B",Pipeline,1.1.2.2,Pipeline Execution Section B,2026-04-19,2026-05-11,78.0,MTR,5000
OIL-PLN-102-C,"Right of Way (ROW) Clearing, Grubbing & Grading - Section C",Pipeline,1.1.2.3,Pipeline Execution Section C,2026-04-22,2026-05-21,91.0,MTR,5000
OIL-PLN-102-D,"Right of Way (ROW) Clearing, Grubbing & Grading - Section D",Pipeline,1.1.2.4,Pipeline Execution Section D,2026-04-25,2026-05-31,4.0,MTR,5000
OIL-PLN-103-A,"Line Pipe Hauling, Offloading and Stringing along ROW - KP 1-16",Pipeline,1.1.3.1,Pipeline Execution Section A,2026-04-28,2026-06-10,17.0,MTR,3000
OIL-PLN-103-B,"Line Pipe Hauling, Offloading and Stringing along ROW - KP 16-31",Pipeline,1.1.3.2,Pipeline Execution Section B,2026-05-01,2026-05-16,30.0,MTR,3000
